,light,noise,thermal,location,user_id
2019-03-21 08:26:24.630000+00:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_17nwhk4ieb2m8
2019-03-27 02:18:02.557000+00:00,10.0,9.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_17zjjismjv6yo
2019-02-20 05:56:30.407000+00:00,9.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_185kl85lj8gw0
2019-04-12 10:01:09.637000+00:00,10.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_18czxmf2ed4w0
2019-04-04 09:34:26.144000+00:00,,,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_18ji5xwwthhc0
2019-04-16 02:19:22.627000+00:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_1ct8axq9phr0g
2019-03-21 08:28:38.997000+00:00,9.0,9.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_1h2ulhqz9hfy8
2019-03-01 06:37:00.364000+00:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_1jfy80d710740
2019-03-27 02:21:52.221000+00:00,9.0,9.0,9.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_1k9na67wctvcw
2019-04-12 09:59:42.009000+00:00,11.0,9.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_1pgo7f48tn400
2019-04-12 09:59:42.745000+00:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_1y8p7moxdt6o0
2019-02-13 09:05:18.848000+00:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_23jrj96s5d88w
2019-01-27 08:03:23.145000+00:00,11.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_23x8h09xzdb40
2019-02-13 03:16:56.658000+00:00,11.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_2gh3mj8k0o0e8
